=== TCP1 - Processing Speed Tracker - Domino Samples ===
Rolling Type	Sample	Parameters#	Regime	LapsedTime
Domino	20	8 + 2 VPlot	05hz	3.532
Domino	20	8 + 2 VPlot	05hz	1.558
Domino	20	8 + 2 VPlot	05hz	7.095
Domino	20	8 + 2 VPlot	05hz	3.395
Domino	20	8 + 2 VPlot	05hz	5.265
Domino	20	8 + 2 VPlot	05hz	7.386
Domino	20	10 + 2 VPlots	05hz	1.283
Domino	20	10 + 2 VPlots	05hz	1.104
Domino	20	10 + 2 VPlots	05hz	0.837
Domino	20	10 + 2 VPlots	05hz	0.839
Domino	20	10 + 2 VPlots	05hz	1.231
Domino	20	10 + 2 VPlots	05hz	1.504
Domino	20	10 + 2 VPlots	05hz	1.392
Domino	20	10 + 2 VPlots	05hz	3.53
Domino	20	10 + 2 VPlots	05hz	8.5
Domino	20	10 + 2 VPlots	05hz	7.932
Domino	20	10 + 2 VPlots	05hz	5.035
Domino	20	10 + 2 VPlots	05hz	4.729
Domino	20	10 + 2 VPlots	05hz	4.07
Domino	20	10 + 2 VPlots	05hz	2.816
Domino	20	10 + 2 VPlots	05hz	1.419
Domino	20	10 + 2 VPlots	05hz	1.144
Domino	20	10 + 2 VPlots	05hz	2.208
Domino	20	10 + 2 VPlots	05hz	1.946
Domino	20	10 + 2 VPlots	05hz	2.438
Domino	20	10 + 2 VPlots	05hz	1.924
Domino	20	10 + 2 VPlots	05hz	12.123
Domino	20	10 + 2 VPlots	05hz	15.614
Domino	20	10 + 2 VPlots	05hz	18.746
Domino	20	10 + 2 VPlots	05hz	18.309
Domino	20	10 + 2 VPlots	05hz	19.982
Domino	20	10 + 2 VPlots	05hz	15.311
Domino	20	10 + 2 VPlots	05hz	20.075
